empresa_norm,n_rows,id_pro,nombre,mostrar_listas,id_emp,lugar_por_defecto,id_esp,horas_estimadas,en_ejecucion,facturacion,ocupacion,horas_ejecutadas,fecha_corte,horas_ejecutadas_facturables,tipo_alcance,id_col_responsable,avance_real,avance_estimado
UNIVERSIDAD JAVERIANA CALI,1,5097,Data Lake,1,7692,2,1,720.0,1.0,38370.0,Permanente,686.5,2026-03-16 00:00:00,665.5,Por Alcance,489.0,0.0,0.0
UPC,1,143,Binocular,0,163,2,3,0.0,0.0,0.0,Stand by,231.5,2026-03-02 09:50:07,226.5,Por Alcance,0.0,0.0,0.0
UTN,1,882,Coaching BI,0,1359,1,1,0.0,0.0,0.0,Stand by,233.0,2026-03-02 09:50:07,212.0,Por Alcance,0.0,0.0,0.0
UTPL,3,855,Migracion Syllabus,0,6,4,5,0.0,0.0,0.0,Stand by,247.16666,2026-03-02 09:50:07,166.0,Por Alcance,0.0,0.0,0.0
VEOLIA ARGENTINA,6,27824,AR - Soporte 2022,5,32250,12,11,1054.0,5.0,68270.0,Esporádico,590.95,2026-03-16 00:00:00,559.95,Por Alcance,409.0,0.0,0.0
VEOLIA BRASIL,2,7514,Estimado,1,4904,4,4,294.0,0.0,14243.33,Esporádico,386.0,2026-03-02 09:50:07,383.0,Por Alcance,0.0,0.0,0.0
VEOLIA CHILE,1,3117,CH - Soporte 2022,1,2678,2,2,200.0,0.0,12000.0,Esporádico,547.5,2026-03-02 09:50:07,530.5,Por Alcance,0.0,0.0,0.0
VEOLIA CHINA,7,23861,2022 Support and Improvements,1,25284,14,258,3370.0,1.0,328790.0,Esporádico,4006.5,2026-03-02 09:50:07,3605.0,Por Alcance,0.0,0.0,0.0
VEOLIA COLOMBIA,5,22785,Soporte 2024,2,13380,10,10,650.0,2.0,36520.0,Esporádico,655.5,2026-03-02 09:50:07,647.5,Por Alcance,0.0,0.0,0.0
VEOLIA ECUADOR,1,5477,Mejoras Core Model ,1,1117,2,2,300.0,1.0,0.0,Esporádico,28.0,2026-03-16 00:00:00,28.0,Por Alcance,0.0,0.0,0.0
VEOLIA JAPON,2,10134,Adaptive Implementation,1,14224,4,285,2252.0,1.0,225200.0,Permanente,1245.5,2026-03-12 00:00:00,1236.5,Por Alcance,0.0,0.0,0.0
VEOLIA LATAM,21,49411,Arg PLT,1,56154,42,42,2646.0,0.0,45880.0,Stand by,6290.25,2026-03-02 09:50:07,5300.75,Por Alcance,0.0,0.0,0.0
VEOLIA MEXICO,1,3137,MX - soporte 2022 por facturar,1,2573,2,2,0.0,1.0,0.0,Por Facturar,0.0,,0.0,Por Alcance,0.0,0.0,0.0
VEOLIA PERU,2,9094,Soporte RH 2026,2,9265,4,4,50.0,2.0,0.0,Esporádico,112.75,2026-03-16 00:00:00,112.25,Por Alcance,0.0,0.0,0.0
WEBMOTORS,2,6834,Profitability,0,11624,4,4,200.0,0.0,12000.0,Esporádico,300.5,2026-03-02 09:50:07,289.5,Por Alcance,0.0,0.0,0.0
XCARET,6,20562,Soporte,0,11604,12,11,574.0,0.0,25000.0,Esporádico,2327.55,2026-03-02 09:50:07,2269.55,Por Alcance,0.0,0.0,0.0
YARA,3,11911,YAR - Implementación Adaptive,1,16059,6,6,680.0,1.0,55760.0,Esporádico,315.25,2026-03-02 09:50:07,297.75,Por Alcance,0.0,0.0,0.0
